name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Jimidar Suji Rusk 600G,Bakery,8906171050009,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe9,30.14,True,False,,0.0,345.0
Pizza Yeast,Bakery,064217000079,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ff2,30.57,True,False,,0.0,229.0
Aapki Pasand Gur Saunf Rusk 600G,Bakery,628114903132,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ff8,40.5,True,False,,0.0,280.0
Froot Loops Kelloggs 345Gm,Bakery,064100595729,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ff9,46.51,True,False,,0.0,336.0
Jimidar Cake Rusk500G,Bakery,8906171050085,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ffc,42.64,True,False,,0.0,345.0
Kreeva Tutti Fruitti 908G,Bakery,9788562558009,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157004,57.8,True,False,,0.05,500.0
Crispy Almond Cakerusk,Bakery,627265002176,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157010,43.63,True,False,,0.0,583.0
Bikano Kaju Pista Cookie 400Gm,Bakery,8901414003873,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157015,64.33,True,False,,0.0,300.0
Butter Pistr Cookies,Bakery,8906070991649,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157020,0.0,True,False,,0.0,299.0
Atta Biscuits 3.8Lb,Bakery,771248116005,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157021,33.11,True,False,,0.0,450.0
Atta Biscuits 3Lb,Bakery,771248117002,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157026,33.11,True,False,,0.0,450.0
